"","day","treatment","batch","trial_num","insem_start","trial_end","insem_dur","encounter","running_away_dur","refusal_posture","insem_resist","mounts","trial_dur","prop_run","prop_insem_resist","insem_lat"
"113","1","focal",1,123,89.169,152.917,63.748,11.658,0.998,0,17.999,2,141.259,0.0128755918514791,0.282346112819226,77.511
"114","3","focal",2,124,75.658,101.672,26.014,51.431,0,0,0,1,50.241,0,0,24.227
"115","3","virgin",1,125,79.409,133.17,53.761,75.409,0,0,20.999,1,57.761,0,0.390599133200647,4
"116","1","virgin",2,126,122.678,167.193,44.515,41.426,0,0,39.257,2,125.767,0,0.881882511512973,81.252
"117","2","focal",2,127,108.171,154.934,46.763,25.668,16.019,0,18.759,2,129.266,0.194162636510188,0.401150482218848,82.503
"118","5","focal",1,128,39.672,71.174,31.502,29.92,0.253,0,3.998,3,41.254,0.0259433962264151,0.126912576979239,9.752
"119","3","virgin",2,129,246.423,302.932,56.509,36.673,0.494,0,24.006,1,266.259,0.00235518474374255,0.424817285742094,209.75
"120","5","virgin",1,130,55.428,89.178,33.75,17.164,0,0,5.995,1,72.014,0,0.17762962962963,38.264
"121","1","virgin",2,131,43.424,111.688,68.264,7.911,0,0,14.502,1,103.777,0,0.21243993906012,35.513
"122","4","focal",1,132,148.408,195.165,46.757,19.414,4.501,0,1.996,2,175.751,0.0348930958029056,0.0426887952606027,128.994
"123","3","focal",2,133,62.185,90.692,28.507,17.918,0.999,0,0,2,72.774,0.0225676011475817,0,44.267
"124","5","virgin",1,134,127.184,198.934,71.75,36.427,0,0,1.024,3,162.507,0,0.0142717770034843,90.757
"125","6","focal",1,135,162.919,221.172,58.253,40.433,2.002,21.507,48.999,1,180.739,0.191932139183254,0.841141228777917,122.486
"126","3","focal",2,136,104.931,127.435,22.504,28.92,6.254,0,0,1,98.515,0.0822775650892634,0,76.011
"127","5","focal",2,137,126.432,169.938,43.506,27.917,6.768,0,0.508,2,142.021,0.0687001979394001,0.0116765503608698,98.515
"128","2","focal",2,138,170.421,204.679,34.258,16.661,0,0,3.254,1,188.018,0,0.0949851129663144,153.76
"129","1","virgin",2,139,51.429,135.68,84.251,17.662,0,0,6.251,1,118.018,0,0.0741949650449253,33.767
"130","4","virgin",1,140,33.924,73.434,39.51,14.162,0,0,8.753,1,59.272,0,0.221538850923817,19.762
"131","2","focal",1,141,213.408,262.674,49.266,41.175,0,0,11.26,2,221.499,0,0.228555190192019,172.233
"132","4","focal",1,142,346.661,373.161,26.5,16.915,16.257,0,0,14,356.246,0.0493015836431678,0,329.746
"133","3","virgin",2,143,620.668,669.169,48.501,39.93,0,53.264,0,6,629.239,0.0917177797905424,0,580.738
"134","6","focal",1,144,NA,NA,NA,32.414,65.536,0,0,12,1200,NA,NA,NA
"135","1","virgin",1,145,243.428,499.679,256.251,225.425,0,0,242.5,1,274.254,0,0.946337770389189,18.003
"136","2","focal",2,146,220.916,298.676,77.76,13.419,0,0,0,1,285.257,0,0,207.497
"137","3","focal",2,147,208.405,259.686,51.281,30.424,0.498,0,0,3,229.262,0.00279805147740489,0,177.981
"138","4","focal",1,148,128.437,194.935,66.498,32.423,8.01,0,1.253,7,162.512,0.0834253338054867,0.0188426719600589,96.014
"139","2","focal",1,149,177.175,234.422,57.247,143.411,1.5,0,0,2,91.011,0.0444260158748963,0,33.764
"140","3","focal",1,150,46.175,62.933,16.758,28.922,0,0,0,1,34.011,0,0,17.253
"141","1","virgin",1,151,344.413,460.173,115.76,21.421,11.748,0,2.25,2,438.752,0.0363724178927032,0.0194367657221838,322.992
"142","5","focal",1,152,77.936,103.192,25.256,49.421,0,0,0,1,53.771,0,0,28.515
"143","3","focal",2,153,43.174,83.427,40.253,13.66,2.751,0,17.754,2,69.767,0.0932100020329335,0.44106029364271,29.514
"144","6","virgin",2,154,257.18,341.186,84.006,40.794,3.263,0,0,3,300.392,0.0150795337960866,0,216.386
"145","2","focal",2,155,130.438,181.431,50.993,15.913,1.249,0,11.003,1,165.518,0.0109059157389216,0.215774714176456,114.525
"146","3","virgin",2,156,746.419,823.671,77.252,17.659,0.998,323.756,0,3,806.012,0.445625445963006,0,728.76
"147","2","focal",2,157,106.424,193.924,87.5,24.666,0,0,0,3,169.258,0,0,81.758
"148","4","focal",1,158,192.937,227.669,34.732,12.661,7.503,0,0,3,215.008,0.0416195167409971,0,180.276
"149","1","focal",2,159,57.937,115.93,57.993,10.161,0,0,2.248,1,105.769,0,0.0387632990188471,47.776
"150","1","focal",1,160,264.62,323.13,58.51,27.386,0,0,0,3,295.744,0,0,237.234
"151","1","focal",1,161,317.633,390.388,72.755,35.855,0,0,0,1,354.533,0,0,281.778
"152","1","virgin",1,162,247.374,288.89,41.516,238.367,7.757,0,0,1,50.523,0.861219051848562,0,9.00700000000001
"153","6","focal",1,163,87.903,109.666,21.763,NA,7.499,0,3.507,3,1200,0.0063645938805181,0.161145062721132,NA
"154","1","focal",1,164,134.133,180.104,45.971,21.354,1.499,0,0,2,158.75,0.0132914815701505,0,112.779
"155","6","virgin",1,165,209.365,312.13,102.765,72.118,0,0,3.252,1,240.012,0,0.0316450153262297,137.247
"156","5","virgin",1,167,31.37,88.377,57.007,23.117,0,0,2.29,1,65.26,0,0.0401705053765327,8.253
"157","6","virgin",2,168,573.043,645.797,72.754,21.367,24.69,0,0,4,624.43,0.0447545298327279,0,551.676
