replicate,day,arena,focal_sex,treatment,ID,trial_start,mating_start,mating_end,mating_latency,mating_duration,seconds,notes,,"DATE, TIME, and TEMP"
3,3,7,M,NA,0.8,8:44:20 AM,8:51:49 AM,8:53:17 AM,,0:01:28,88,,,
3,3,8,M,NA,0.9,8:44:25 AM,8:49:51 AM,9:04:36 AM,,0:14:45,#VALUE!,,,
3,3,9,M,NA,:0,8:44:31 AM,,,,NA,#VALUE!,"Excluded, ran out of females",,
3,3,10,M,NA,:1,8:44:39 AM,9:03:39 AM,9:05:11 AM,,0:01:32,92,,,
3,3,11,M,NA,:3,8:44:56 AM,8:50:37 AM,8:53:34 AM,,0:02:57,177,,,
3,3,12,M,NA,:4,8:44:59 AM,8:48:53 AM,8:50:27 AM,,0:01:34,94,,,
3,3,13,M,NA,:7,8:45:34 AM,8:49:20 AM,8:52:56 AM,,0:03:36,216,,,
3,3,14,M,NA,0,8:45:41 AM,8:47:09 AM,9:07:04 AM,,NA,#VALUE!,,,
3,3,15,M,NA,:3,8:45:53 AM,8:47:09 AM,9:07:12 AM,,NA,#VALUE!,,,
3,3,16,M,NA,:6,8:45:56 AM,8:51:27 AM,8:55:23 AM,,0:03:56,236,,,
3,3,1,F,Mated,6:00,9:36:42 AM,9:37:04 AM,9:39:41 AM,,0:02:37,157,,,
3,3,2,F,Non-mated,3:00,9:36:42 AM,,,,NA,#VALUE!,,,
3,3,3,F,Mated,2,9:37:33 AM,9:37:41 AM,9:38:45 AM,,0:01:04,64,,,
3,3,4,F,Non-mated,8,9:38:56 AM,,,,NA,#VALUE!,,,
3,3,5,F,Mated,9:00,9:40:17 AM,9:40:19 AM,9:40:58 AM,,0:00:39,39,,,
3,3,6,F,Non-mated,1,9:40:24 AM,,,,NA,#VALUE!,,,
3,3,7,F,Mated,2:00,9:40:38 AM,9:41:14 AM,9:43:05 AM,,0:01:51,111,,,
3,3,8,F,Non-mated,9,9:41:49 AM,,,,NA,#VALUE!,,,
3,3,9,F,Mated,4:00,9:43:13 AM,9:43:19 AM,9:44:17 AM,,0:00:58,58,,,
3,3,10,F,Non-mated,0:00,9:43:32 AM,,,,0:00:00,0,,,
3,3,11,F,Mated,7,9:44:00 AM,9:44:29 AM,9:45:40 AM,,0:01:11,71,,,
3,3,12,F,Non-mated,7:00,9:44:25 AM,,,,NA,#VALUE!,,,
3,3,13,F,Mated,,,,,,NA,#VALUE!,,,
3,3,14,F,Non-mated,,,,,,NA,#VALUE!,,,
4,1,1,F,NA,2,8:42:44 AM,8:43:35 AM,8:46:27 AM,,0:02:52,172,,,
